y,x,street_count,highway,geometry
9.909754,78.13473,3,,POINT (78.13473 9.909754)
9.9098173,78.1526817,4,,POINT (78.1526817 9.9098173)
9.9089311,78.1493256,3,,POINT (78.1493256 9.9089311)
9.9047205,78.1451066,3,,POINT (78.1451066 9.9047205)
9.941632,78.1498461,4,,POINT (78.1498461 9.941632)
9.9389831,78.1503863,3,,POINT (78.1503863 9.9389831)
9.9325695,78.1490229,3,,POINT (78.1490229 9.9325695)
9.9165422,78.148531,3,,POINT (78.148531 9.9165422)
9.9220189,78.1387242,4,,POINT (78.1387242 9.9220189)
9.9214037,78.1403841,4,,POINT (78.1403841 9.9214037)
9.9208906,78.1432387,3,,POINT (78.1432387 9.9208906)
9.9213454,78.1464537,4,,POINT (78.1464537 9.9213454)
9.9213538,78.1479385,4,,POINT (78.1479385 9.9213538)
9.904816,78.1413725,4,,POINT (78.1413725 9.904816)
9.9036653,78.1444152,3,,POINT (78.1444152 9.9036653)
9.9038521,78.144574,3,,POINT (78.144574 9.9038521)
9.9269464,78.1269411,3,,POINT (78.1269411 9.9269464)
9.920357,78.1401134,4,,POINT (78.1401134 9.920357)
9.9207694,78.1385546,3,,POINT (78.1385546 9.9207694)
9.9219304,78.1358599,4,,POINT (78.1358599 9.9219304)
9.8736248,78.1223059,3,,POINT (78.1223059 9.8736248)
9.9182971,78.1193837,4,,POINT (78.1193837 9.9182971)
9.911562,78.1199874,4,,POINT (78.1199874 9.911562)
9.9161903,78.1211374,3,,POINT (78.1211374 9.9161903)
9.8998048,78.1014685,4,,POINT (78.1014685 9.8998048)
9.9188773,78.1151414,3,,POINT (78.1151414 9.9188773)
9.9132108,78.1198521,3,,POINT (78.1198521 9.9132108)
9.9132187,78.1214136,4,,POINT (78.1214136 9.9132187)
9.9147231,78.1131696,3,,POINT (78.1131696 9.9147231)
9.9242518,78.1031803,3,,POINT (78.1031803 9.9242518)
9.922539,78.1045535,3,,POINT (78.1045535 9.922539)
9.9220537,78.1049626,3,,POINT (78.1049626 9.9220537)
9.9213898,78.1057022,4,,POINT (78.1057022 9.9213898)
9.9192496,78.1081491,4,,POINT (78.1081491 9.9192496)
9.9171476,78.10882,3,,POINT (78.10882 9.9171476)
9.8856186,78.0790333,3,,POINT (78.0790333 9.8856186)
9.9424337,78.0819476,3,,POINT (78.0819476 9.9424337)
9.9619205,78.053335,3,,POINT (78.053335 9.9619205)
9.8352335,78.1015937,1,,POINT (78.1015937 9.8352335)
9.9324894,78.1439026,4,,POINT (78.1439026 9.9324894)
9.9238404,78.1389448,4,,POINT (78.1389448 9.9238404)
9.9257527,78.138985,3,,POINT (78.138985 9.9257527)
9.9260855,78.1389202,3,,POINT (78.1389202 9.9260855)
9.9265202,78.1387754,3,,POINT (78.1387754 9.9265202)
9.9271372,78.1381778,3,,POINT (78.1381778 9.9271372)
9.9288164,78.1379547,4,,POINT (78.1379547 9.9288164)
9.9327962,78.1395099,3,,POINT (78.1395099 9.9327962)
9.9301478,78.1371352,4,,POINT (78.1371352 9.9301478)
9.9308859,78.1324451,3,,POINT (78.1324451 9.9308859)
9.9305766,78.1343506,3,,POINT (78.1343506 9.9305766)
9.9302876,78.1362449,3,,POINT (78.1362449 9.9302876)
9.9254548,78.1314016,3,,POINT (78.1314016 9.9254548)
9.9254959,78.1401254,3,,POINT (78.1401254 9.9254959)
9.9237869,78.1400023,3,,POINT (78.1400023 9.9237869)
9.9326126,78.1410521,3,,POINT (78.1410521 9.9326126)
9.923301,78.1124798,3,,POINT (78.1124798 9.923301)
9.9194244,78.1126183,3,,POINT (78.1126183 9.9194244)
9.9220995,78.1125408,4,,POINT (78.1125408 9.9220995)
9.9182256,78.1126665,4,,POINT (78.1126665 9.9182256)
9.9165588,78.1126069,3,,POINT (78.1126069 9.9165588)
9.9181417,78.1121288,4,,POINT (78.1121288 9.9181417)
9.9221962,78.1120405,3,,POINT (78.1120405 9.9221962)
9.9152813,78.0953312,4,,POINT (78.0953312 9.9152813)
9.9122265,78.1238003,3,,POINT (78.1238003 9.9122265)
9.9167106,78.1139694,3,,POINT (78.1139694 9.9167106)
9.9183832,78.1134649,3,,POINT (78.1134649 9.9183832)
9.9130203,78.1239528,4,,POINT (78.1239528 9.9130203)
9.9133978,78.1240414,4,,POINT (78.1240414 9.9133978)
9.9142472,78.1242484,3,,POINT (78.1242484 9.9142472)
9.9229981,78.1246315,4,,POINT (78.1246315 9.9229981)
9.9241572,78.1218722,4,,POINT (78.1218722 9.9241572)
9.926992,78.1486352,4,,POINT (78.1486352 9.926992)
9.8843103,78.0553324,3,,POINT (78.0553324 9.8843103)
